AGNT_EMP_NO,HIRE_DT,PARTNER,SITE_DESC,LOCATION,NO_DAYS_AFTER_HIRE,FLAG_ATTRITION,PASS_FAIL,Month1Diff,Month2Diff,Month3Diff,Month4Diff,Month5Diff,Month6Diff,Month7Diff,Month8Diff,Month9Diff,Month10Diff,Month11Diff,Month12Diff,LockDiff,RESULTS,LOB,PF_SEGMENT_QUARTILE1,PF_SEGMENT_QUARTILE2,PF_SEGMENT_QUARTILE3,PF_SEGMENT_QUARTILE4,PF_SEGMENT_QUARTILE5,PF_SEGMENT_QUARTILE6,PF_SEGMENT_QUARTILE7,PF_SEGMENT_QUARTILE8,PF_SEGMENT_QUARTILE9,PF_SEGMENT_QUARTILE10,PF_SEGMENT_QUARTILE11,PF_SEGMENT_QUARTILE12,ABT_AHT1,ABT_AHT2,ABT_AHT3,ABT_AHT4,ABT_AHT5,ABT_AHT6,ABT_AHT7,ABT_AHT8,ABT_AHT9,ABT_AHT10,ABT_AHT11,ABT_AHT12,FCR71,FCR72,FCR73,FCR74,FCR75,FCR76,FCR77,FCR78,FCR79,FCR710,FCR711,FCR712,SR_60D1,SR_60D2,SR_60D3,SR_60D4,SR_60D5,SR_60D6,SR_60D7,SR_60D8,SR_60D9,SR_60D10,SR_60D11,SR_60D12,AGNT_SEGMENT_NM_Month_1,AGNT_SEGMENT_NM_Month_2,AGNT_SEGMENT_NM_Month_3,AGNT_SEGMENT_NM_Month_4,AGNT_SEGMENT_NM_Month_5,AGNT_SEGMENT_NM_Month_6,AGNT_SEGMENT_NM_Month_7,AGNT_SEGMENT_NM_Month_8,AGNT_SEGMENT_NM_Month_9,AGNT_SEGMENT_NM_Month_10,AGNT_SEGMENT_NM_Month_11,AGNT_SEGMENT_NM_Month_12,AGNT_SEGMENT_NM_Month_13,DEPT_NM_Month_1,DEPT_NM_Month_2,DEPT_NM_Month_3,DEPT_NM_Month_4,DEPT_NM_Month_5,DEPT_NM_Month_6,DEPT_NM_Month_7,DEPT_NM_Month_8,DEPT_NM_Month_9,DEPT_NM_Month_10,DEPT_NM_Month_11,DEPT_NM_Month_12,DEPT_NM_Month_13
EZ20475,22-Apr-17,,IQOR - North York,ONSHORE,188,1,FAIL,-81,-53,-22,8,39,69,100,131,161,192,222,253,9,NOT RECOMMENDED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRS Sales Outbound,BRS Sales Outbound,BRS Sales Outbound,BRS Sales Outbound,BRS Sales Outbound,BRS Sales Outbound,,,,,,,,Sales Outbound,Sales Outbound,Sales Outbound,Sales Outbound,Sales Outbound,Sales Outbound,,,
EZ20476,22-Apr-17,,IQOR - North York,ONSHORE,65,1,PASS,-81,-53,-22,8,39,69,100,131,161,192,222,253,9,RECOMMENDED WITH RESERVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRS Sales Outbound,BRS Sales Outbound,,,,,,,,,,,,Sales Outbound,Sales Outbound,,,,,,,
EZ20477,22-Apr-17,,IQOR - North York,ONSHORE,132,1,FAIL,-81,-53,-22,8,39,69,100,131,161,192,222,253,9,NOT RECOMMENDED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRS Sales Outbound,BRS Sales Outbound,BRS Sales Outbound,BRS Sales Outbound,BRS Sales Outbound,,,,,,,,,Sales Outbound,Sales Outbound,Sales Outbound,Sales Outbound,Sales Outbound,,,,
EZ20480,22-Apr-17,,IQOR - North York,ONSHORE,109,1,PASS,-81,-53,-22,8,39,69,100,131,161,192,222,253,9,RECOMMENDED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRS Sales Outbound,BRS Sales Outbound,BRS Sales Outbound,BRS Sales Outbound,,,,,,,,,,Sales Outbound,Sales Outbound,Sales Outbound,Sales Outbound,,,,,
EZ20481,22-Apr-17,,IQOR - North York,ONSHORE,158,1,PASS,-81,-53,-22,8,39,69,100,131,161,192,222,253,9,RECOMMENDED WITH RESERVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRS Sales Outbound,BRS Sales Outbound,BRS Sales Outbound,BRS Sales Outbound,BRS Sales Outbound,,,,,,,,,Sales Outbound,Sales Outbound,Sales Outbound,Sales Outbound,Sales Outbound,,,,
EZ20482,22-Apr-17,,IQOR - North York,ONSHORE,63,1,PASS,-81,-53,-22,8,39,69,100,131,161,192,222,253,9,STRONGLY RECOMMENDED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRS Sales Outbound,BRS Sales Outbound,,,,,,,,,,,,Sales Outbound,Sales Outbound,,,,,,,
EZ20483,22-Apr-17,,IQOR - North York,ONSHORE,0,0,FAIL,-81,-53,-22,8,39,69,100,131,161,192,222,253,9,NOT RECOMMENDED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRS Sales Outbound,BRS Sales Outbound,BRS Sales Outbound,BRS Sales Outbound,BRS Sales Outbound,BRS Sales Outbound,BRS Sales Outbound,BRS Sales Outbound,BRS Sales Outbound,,,,,Sales Outbound,Sales Outbound,Sales Outbound,Sales Outbound,Sales Outbound,Sales Outbound,Sales Outbound,Sales Outbound,Sales Outbound
EZ20485,22-Apr-17,,IQOR - North York,ONSHORE,65,1,FAIL,-81,-53,-22,8,39,69,100,131,161,192,222,253,9,NOT RECOMMENDED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRS Sales Outbound,BRS Sales Outbound,,,,,,,,,,,,Sales Outbound,Sales Outbound,,,,,,,
EZ20486,22-Apr-17,,IQOR - North York,ONSHORE,108,1,FAIL,-81,-53,-22,8,39,69,100,131,161,192,222,253,9,NOT RECOMMENDED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRS Sales Outbound,BRS Sales Outbound,BRS Sales Outbound,BRS Sales Outbound,,,,,,,,,,Sales Outbound,Sales Outbound,Sales Outbound,Sales Outbound,,,,,
EZ20487,22-Apr-17,,IQOR - North York,ONSHORE,44,1,PASS,-81,-53,-22,8,39,69,100,131,161,192,222,253,9,STRONGLY RECOMMENDED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRS Sales Outbound,BRS Sales Outbound,,,,,,,,,,,,Sales Outbound,Sales Outbound,,,,,,,
EZ20488,22-Apr-17,,IQOR - North York,ONSHORE,140,1,PASS,-81,-53,-22,8,39,69,100,131,161,192,222,253,9,RECOMMENDED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRS Sales Outbound,BRS Sales Outbound,BRS Sales Outbound,BRS Sales Outbound,BRS Sales Outbound,,,,,,,,,Sales Outbound,Sales Outbound,Sales Outbound,Sales Outbound,Sales Outbound,,,,
EZ20489,22-Apr-17,,IQOR - North York,ONSHORE,280,1,FAIL,-81,-53,-22,8,39,69,100,131,161,192,222,253,9,NOT RECOMMENDED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRS Sales Outbound,BRS Sales Outbound,BRS Sales Outbound,BRS Sales Outbound,BRS Sales Outbound,BRS Sales Outbound,BRS Sales Outbound,BRS Sales Outbound,BRS Sales Outbound,,,,,Sales Outbound,Sales Outbound,Sales Outbound,Sales Outbound,Sales Outbound,Sales Outbound,Sales Outbound,Sales Outbound,Sales Outbound
EZ20500,22-Apr-17,,IQOR - North York,ONSHORE,280,1,FAIL,-81,-53,-22,8,39,69,100,131,161,192,222,253,9,NOT RECOMMENDED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRS Sales Outbound,BRS Sales Outbound,BRS Sales Outbound,BRS Sales Outbound,BRS Sales Outbound,BRS Sales Outbound,BRS Sales Outbound,BRS Sales Outbound,BRS Sales Outbound,,,,,Sales Outbound,Sales Outbound,Sales Outbound,Sales Outbound,Sales Outbound,Sales Outbound,Sales Outbound,Sales Outbound,Sales Outbound
EZ20509,22-Apr-17,,IQOR - North York,ONSHORE,0,0,FAIL,-81,-53,-22,8,39,69,100,131,161,192,222,253,9,NOT RECOMMENDED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRS Sales Outbound,BRS Sales Outbound,BRS Sales Outbound,BRS Sales Outbound,BRS Sales Outbound,BRS Sales Outbound,BRS Sales Outbound,BRS Sales Outbound,BRS Sales Outbound,,,,,Sales Outbound,Sales Outbound,Sales Outbound,Sales Outbound,Sales Outbound,Sales Outbound,Sales Outbound,Sales Outbound,Sales Outbound
EZ20510,01-May-17,,IQOR - Philippines - ILOILO,OFFSHORE,28,1,PASS,-90,-62,-31,-1,30,60,91,122,152,183,213,244,0,RECOMMENDED WITH RESERVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Care eChat,Care eChat,,,,,,,,,,,,Consumer Care Support,Consumer Care Support,,,,,,,
EZ20512,01-May-17,IQOR,IQOR - Philippines - ILOILO,OFFSHORE,80,1,FAIL,-90,-62,-31,-1,30,60,91,122,152,183,213,244,0,NOT RECOMMENDED,BM,,,,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Care eChat,Care eChat,Care eChat,,,,,,,,,,,Consumer Care Support,Consumer Care Support,Consumer Care Support,,,,,,
EZ20513,01-May-17,IQOR,IQOR - Philippines - ILOILO,OFFSHORE,0,0,FAIL,-90,-62,-31,-1,30,60,91,122,152,183,213,244,0,NOT RECOMMENDED,BM,,,,,4,3,4,3,4,3,4,,,,,,,,657.996758,544.318181,,,474.533333,,,,,,,,0.523967,0.561905,,,0.482759,,,,,,,,,,,,,,,,,,Care eChat,Care eChat,Care eChat,Consumer,Consumer,Care eChat,Care eChat,Consumer,Consumer,,,,,Consumer Care Support,Consumer Care Support,Consumer Care Support,Consumer Care,Consumer Care,Consumer Care Support,Consumer Care Support,Consumer Care,Consumer Care
EZ20514,01-May-17,,IQOR - Philippines - ILOILO,OFFSHORE,0,0,PASS,-90,-62,-31,-1,30,60,91,122,152,183,213,244,0,RECOMMENDED WITH RESERVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Care eChat,Care eChat,,,,,,,,,,,,Consumer Care Support,Consumer Care Support,,,,,,,
EZ20515,01-May-17,IQOR,IQOR - Philippines - ILOILO,OFFSHORE,0,0,FAIL,-90,-62,-31,-1,30,60,91,122,152,183,213,244,0,NOT RECOMMENDED,BM,,,,,4,4,2,1,2,2,1,,,,,,,,580.956586,542.829059,,,731.268907,,,,,,,,0.692308,0.706897,,,0.704642,,,,,,,,,,,,,,,,,,Care eChat,Care eChat,Care eChat,Consumer,Consumer,Care eChat,Care eChat,Consumer,Consumer,,,,,Consumer Care Support,Consumer Care Support,Consumer Care Support,Consumer Care,Consumer Care,Consumer Care Support,Consumer Care Support,Consumer Care,Consumer Care
EZ20516,01-May-17,IQOR,IQOR - Philippines - ILOILO,OFFSHORE,0,0,PASS,-90,-62,-31,-1,30,60,91,122,152,183,213,244,0,RECOMMENDED WITH RESERVATION,BM,,,,,4,3,3,1,2,3,3,,,,,,,,699.406593,702.480916,,,695.456273,,,,,,,,0.658672,0.661539,,,0.640927,,,,,,,,,,,,,,,,,,Care eChat,Care eChat,Care eChat,Consumer,Consumer,Care eChat,Care eChat,Consumer,Consumer,,,,,Consumer Care Support,Consumer Care Support,Consumer Care Support,Consumer Care,Consumer Care,Consumer Care Support,Consumer Care Support,Consumer Care,Consumer Care
EZ20517,01-May-17,IQOR,IQOR - Philippines - ILOILO,OFFSHORE,0,0,PASS,-90,-62,-31,-1,30,60,91,122,152,183,213,244,0,RECOMMENDED WITH RESERVATION,BM,,,,,4,3,4,2,2,2,4,,,,,,,,599.807162,553.384146,,,769.960144,,,,,,,,0.635984,0.641976,,,0.594096,,,,,,,,,,,,,,,,,,Care eChat,Care eChat,Care eChat,Consumer,Consumer,Care eChat,Care eChat,Consumer,Consumer,,,,,Consumer Care Support,Consumer Care Support,Consumer Care Support,Consumer Care,Consumer Care,Consumer Care Support,Consumer Care Support,Consumer Care,Consumer Care
EZ20518,01-May-17,IQOR,IQOR - Philippines - ILOILO,OFFSHORE,0,0,PASS,-90,-62,-31,-1,30,60,91,122,152,183,213,244,0,RECOMMENDED WITH RESERVATION,BM,,,,,4,4,3,,,,,,,,,,,,546.783258,,,,,,,,,,,,0.623299,,,,,,,,,,,,,,,,,,,,,,Care eChat,Care eChat,Care eChat,Consumer,,,,,,,,,,Consumer Care Support,Consumer Care Support,Consumer Care Support,Consumer Care,,,,,
EZ20519,01-May-17,,IQOR - Philippines - ILOILO,OFFSHORE,0,0,PASS,-90,-62,-31,-1,30,60,91,122,152,183,213,244,0,RECOMMENDED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Care eChat,Care eChat,,,,,,,,,,,,Consumer Care Support,Consumer Care Support,,,,,,,
EZ20520,01-May-17,IQOR,IQOR - Philippines - ILOILO,OFFSHORE,138,1,PASS,-90,-62,-31,-1,30,60,91,122,152,183,213,244,0,RECOMMENDED,BM,,,,,4,4,3,1,,,,,,,,,,,581.59941,498.057851,,,,,,,,,,,0.655689,0.70248,,,,,,,,,,,,,,,,,,,,,Care eChat,Care eChat,Care eChat,Consumer,Consumer,,,,,,,,,Consumer Care Support,Consumer Care Support,Consumer Care Support,Consumer Care,Consumer Care,,,,
EZ20521,01-May-17,IQOR,IQOR - Philippines - ILOILO,OFFSHORE,260,1,PASS,-90,-62,-31,-1,30,60,91,122,152,183,213,244,0,RECOMMENDED WITH RESERVATION,BM,,,,,4,3,3,1,2,2,2,,,,,,,,721.115473,573.567164,,,816.328638,,,,,,,,0.659674,0.686568,,,0.692308,,,,,,,,,,,,,,,,,,Care eChat,Care eChat,Care eChat,Consumer,Consumer,Care eChat,Care eChat,Consumer,Consumer,,,,,Consumer Care Support,Consumer Care Support,Consumer Care Support,Consumer Care,Consumer Care,Consumer Care Support,Consumer Care Support,Consumer Care,Consumer Care
EZ20522,01-May-17,IQOR,IQOR - Philippines - ILOILO,OFFSHORE,244,1,PASS,-90,-62,-31,-1,30,60,91,122,152,183,213,244,0,RECOMMENDED,BM,,,,,4,4,4,3,4,4,2,,,,,,,,704.810661,632.801886,,,847.028,,,,,,,,0.615242,0.692308,,,0.69796,,,,,,,,,,,,,,,,,,Care eChat,Care eChat,Care eChat,Consumer,Consumer,Care eChat,Care eChat,Consumer,Consumer,,,,,Consumer Care Support,Consumer Care Support,Consumer Care Support,Consumer Care,Consumer Care,Consumer Care Support,Consumer Care Support,Consumer Care,Consumer Care
EZ20523,01-May-17,IQOR,IQOR - Philippines - ILOILO,OFFSHORE,185,1,FAIL,-90,-62,-31,-1,30,60,91,122,152,183,213,244,0,NOT RECOMMENDED,BM,,,,,4,4,4,3,,,,,,,,,,,679.266101,613.93421,,,,,,,,,,,0.595891,0.706667,,,,,,,,,,,,,,,,,,,,,Care eChat,Care eChat,Care eChat,Consumer,Consumer,Care eChat,Care eChat,,,,,,,Consumer Care Support,Consumer Care Support,Consumer Care Support,Consumer Care,Consumer Care,Consumer Care Support,Consumer Care Support,,
EZ20524,01-May-17,,IQOR - Philippines - ILOILO,OFFSHORE,28,1,FAIL,-90,-62,-31,-1,30,60,91,122,152,183,213,244,0,NOT RECOMMENDED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Care eChat,Care eChat,,,,,,,,,,,,Consumer Care Support,Consumer Care Support,,,,,,,
EZ20547,24-Apr-17,IQOR,IQOR - Philippines - Clark,OFFSHORE,0,0,PASS,-83,-55,-24,6,37,67,98,129,159,190,220,251,7,RECOMMENDED,BRS,,,,,,4,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRS Collection Outbound,BRS Collection Outbound,BRS Collection Outbound,BRS Collection Outbound,BRS Collection Outbound,BRS Collection Outbound,BRS Collection Outbound,BRS Collection Outbound,BRS Collection Inbound,,,,,Collection Outbound,Collection Outbound,Collection Outbound,Collection Outbound,Collection Outbound,Collection Outbound,Collection Outbound,Collection Outbound,Collection Inbound
EZ20620,27-Apr-17,Sitel,Sitel - Manila,OFFSHORE,0,0,PASS,-86,-58,-27,3,34,64,95,126,156,187,217,248,4,RECOMMENDED WITH RESERVATION,BRS,,,,,2,4,4,3,4,2,2,2,,,,,,1421.324324,1039.898963,1008.888217,1016.490909,937.09375,1074.557213,1276.450909,,,,,,,,,,,,,,,,,,,0.594808,0.752284,0.743271,0.758524,0.72519,0.770179,,,,,Retention L1,Retention L1,Retention L1,Retention L1,Retention L1,Retention L1,Retention L1,Retention L1,Retention L1,,,,,Loyalty Inbound,Loyalty Inbound,Loyalty Inbound,Loyalty Inbound,Loyalty Inbound,Loyalty Inbound,Loyalty Inbound,Loyalty Inbound,Loyalty Inbound
EZ20621,27-Apr-17,Sitel,Sitel - Manila,OFFSHORE,0,0,PASS,-86,-58,-27,3,34,64,95,126,156,187,217,248,4,RECOMMENDED,BRS,,,,,2,4,4,1,2,2,2,2,,,,,,1120.577702,1112.480113,1181.06,1141.69817,1088.209366,1296.379421,1154.270627,,,,,,,,,,,,,,,,,,,0.641439,0.765164,0.754203,0.733262,0.775637,0.742873,,,,,Retention L1,Retention L1,Retention L1,Retention L1,Retention L1,Retention L1,Retention L1,Retention L1,Retention L1,,,,,Loyalty Inbound,Loyalty Inbound,Loyalty Inbound,Loyalty Inbound,Loyalty Inbound,Loyalty Inbound,Loyalty Inbound,Loyalty Inbound,Loyalty Inbound
EZ20622,27-Apr-17,Sitel,Sitel - Manila,OFFSHORE,0,0,PASS,-86,-58,-27,3,34,64,95,126,156,187,217,248,4,RECOMMENDED,BRS,,,,,1,1,4,4,4,3,4,1,,,,,,1401.898373,839.217842,746.77696,745.896907,797.853813,877.603896,1011.320802,,,,,,,,,,,,,,,,,,,0.582743,0.708237,0.726781,0.746619,0.727673,0.735084,,,,,Retention L1,Retention L1,Retention L1,Retention L1,Retention L1,Retention L1,Retention L1,Retention L1,Retention L1,,,,,Loyalty Inbound,Loyalty Inbound,Loyalty Inbound,Loyalty Inbound,Loyalty Inbound,Loyalty Inbound,Loyalty Inbound,Loyalty Inbound,Loyalty Inbound
EZ20624,27-Apr-17,Sitel,Sitel - Manila,OFFSHORE,0,0,PASS,-86,-58,-27,3,34,64,95,126,156,187,217,248,4,RECOMMENDED WITH RESERVATION,BRS,,,,,3,4,4,3,4,3,2,2,,,,,,1318.169675,1049.642253,1005.859416,1041.778816,752.83913,909.9625,911.034267,,,,,,,,,,,,,,,,,,,0.61997,0.747704,0.720591,0.675754,0.729188,0.766647,,,,,Retention L1,Retention L1,Retention L1,Retention L1,Retention L1,Retention L1,Retention L1,Retention L1,Retention L1,,,,,Loyalty Inbound,Loyalty Inbound,Loyalty Inbound,Loyalty Inbound,Loyalty Inbound,Loyalty Inbound,Loyalty Inbound,Loyalty Inbound,Loyalty Inbound
EZ20625,27-Apr-17,Sitel,Sitel - Manila,OFFSHORE,78,1,PASS,-86,-58,-27,3,34,64,95,126,156,187,217,248,4,RECOMMENDED,BRS,,,,,2,3,,,,,,,,,,,,1811.161764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retention L1,Retention L1,Retention L1,,,,,,,,,,,Loyalty Inbound,Loyalty Inbound,Loyalty Inbound,,,,,,
EZ20626,27-Apr-17,Sitel,Sitel - Manila,OFFSHORE,89,1,PASS,-86,-58,-27,3,34,64,95,126,156,187,217,248,4,RECOMMENDED WITH RESERVATION,BRS,,,,,2,4,4,,,,,,,,,,,1751.478873,1392.304,,,,,,,,,,,,,,,,,,,,,,,,0.595312,,,,,,,,,,Retention L1,Retention L1,Retention L1,,,,,,,,,,,Loyalty Inbound,Loyalty Inbound,Loyalty Inbound,,,,,,
EZ20627,27-Apr-17,Sitel,Sitel - Manila,OFFSHORE,0,0,PASS,-86,-58,-27,3,34,64,95,126,156,187,217,248,4,RECOMMENDED WITH RESERVATION,BRS,,,,,2,2,,,,,,,,,,,,1142.844311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retention L1,Retention L1,Retention L1,Retention L1,Retention L1,Retention L1,,,,,,,,Loyalty Inbound,Loyalty Inbound,Loyalty Inbound,Loyalty Inbound,Loyalty Inbound,Loyalty Inbound,,,
EZ20628,27-Apr-17,Sitel,Sitel - Manila,OFFSHORE,0,0,PASS,-86,-58,-27,3,34,64,95,126,156,187,217,248,4,RECOMMENDED WITH RESERVATION,BRS,,,,,2,4,4,3,3,3,2,,,,,,,1717.384279,1296.085626,1387.216524,1211.5961,1038.35887,1002.263157,,,,,,,,,,,,,,,,,,,,0.644096,0.698528,0.717574,0.686822,0.738825,,,,,,Retention L1,Retention L1,Retention L1,Retention L1,Retention L1,Retention L1,Retention L1,BRS Loyalty Outbound,BRS Loyalty Outbound,,,,,Loyalty Inbound,Loyalty Inbound,Loyalty Inbound,Loyalty Inbound,Loyalty Inbound,Loyalty Inbound,Loyalty Inbound,Loyalty Outbound,Loyalty Outbound
EZ20629,27-Apr-17,Sitel,Sitel - Manila,OFFSHORE,0,0,PASS,-86,-58,-27,3,34,64,95,126,156,187,217,248,4,RECOMMENDED WITH RESERVATION,BRS,,,,,2,3,4,3,2,4,3,2,,,,,,1615.313084,1170.587131,1240.262711,1222.863354,1100.42602,1116.237244,1151.806629,,,,,,,,,,,,,,,,,,,0.556724,0.622068,0.670176,0.714696,0.731338,0.739894,,,,,Retention L1,Retention L1,Retention L1,Retention L1,Retention L1,Retention L1,Retention L1,Retention L1,Retention L1,,,,,Loyalty Inbound,Loyalty Inbound,Loyalty Inbound,Loyalty Inbound,Loyalty Inbound,Loyalty Inbound,Loyalty Inbound,Loyalty Inbound,Loyalty Inbound
EZ20630,27-Apr-17,Sitel,Sitel - Manila,OFFSHORE,69,1,PASS,-86,-58,-27,3,34,64,95,126,156,187,217,248,4,RECOMMENDED,BRS,,,,,2,3,,,,,,,,,,,,1263.8125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retention L1,Retention L1,Retention L1,,,,,,,,,,,Loyalty Inbound,Loyalty Inbound,Loyalty Inbound,,,,,,
EZ20631,27-Apr-17,Sitel,Sitel - Manila,OFFSHORE,0,0,PASS,-86,-58,-27,3,34,64,95,126,156,187,217,248,4,RECOMMENDED WITH RESERVATION,BRS,,,,,2,2,4,2,2,1,2,1,,,,,,1350.146153,963.258397,1009.184895,1133.60606,1004.747572,1104.507374,1611.785714,,,,,,,,,,,,,,,,,,,0.610433,0.738271,0.751299,0.747462,0.747821,0.814402,,,,,Retention L1,Retention L1,Retention L1,Retention L1,Retention L1,Retention L1,Retention L1,Retention L1,Retention L1,,,,,Loyalty Inbound,Loyalty Inbound,Loyalty Inbound,Loyalty Inbound,Loyalty Inbound,Loyalty Inbound,Loyalty Inbound,Loyalty Inbound,Loyalty Inbound
EZ20632,27-Apr-17,Sitel,Sitel - Manila,OFFSHORE,216,1,PASS,-86,-58,-27,3,34,64,95,126,156,187,217,248,4,RECOMMENDED,BRS,,,,,2,4,4,4,3,3,3,,,,,,,1636.202586,1200.723684,1039.698275,978.570652,1118.961805,1220.79,,,,,,,,,,,,,,,,,,,,0.584692,0.705344,0.744538,0.750506,0.736508,,,,,,Retention L1,Retention L1,Retention L1,Retention L1,Retention L1,Retention L1,Retention L1,,,,,,,Loyalty Inbound,Loyalty Inbound,Loyalty Inbound,Loyalty Inbound,Loyalty Inbound,Loyalty Inbound,Loyalty Inbound,,
EZ20633,27-Apr-17,Sitel,Sitel - Manila,OFFSHORE,100,1,PASS,-86,-58,-27,3,34,64,95,126,156,187,217,248,4,RECOMMENDED,BRS,,,,,2,4,4,,,,,,,,,,,1846.62189,1584.629032,,,,,,,,,,,,,,,,,,,,,,,,0.609441,,,,,,,,,,Retention L1,Retention L1,Retention L1,Retention L1,Retention L1,Retention L1,,,,,,,,Loyalty Inbound,Loyalty Inbound,Loyalty Inbound,Loyalty Inbound,Loyalty Inbound,Loyalty Inbound,,,
EZ20634,27-Apr-17,Sitel,Sitel - Manila,OFFSHORE,266,1,PASS,-86,-58,-27,3,34,64,95,126,156,187,217,248,4,RECOMMENDED WITH RESERVATION,BRS,,,,,2,3,4,2,2,1,2,1,,,,,,1664.324444,1176.88957,1296.00831,1177.101167,1062.536842,1268.146226,1314.942731,,,,,,,,,,,,,,,,,,,0.618593,0.731002,0.705574,0.757536,0.747753,0.731055,,,,,Retention L1,Retention L1,Retention L1,Retention L1,Retention L1,Retention L1,Retention L1,Retention L1,Retention L1,,,,,Loyalty Inbound,Loyalty Inbound,Loyalty Inbound,Loyalty Inbound,Loyalty Inbound,Loyalty Inbound,Loyalty Inbound,Loyalty Inbound,Loyalty Inbound
EZ20635,27-Apr-17,Sitel,Sitel - Manila,OFFSHORE,0,0,PASS,-86,-58,-27,3,34,64,95,126,156,187,217,248,4,RECOMMENDED,BRS,,,,,2,4,4,4,4,4,3,,,,,,,1467.011583,1073.339285,1072.717948,940.595015,917.494974,931.738589,,,,,,,,,,,,,,,,,,,,0.685373,0.717359,0.735969,0.69171,0.719258,,,,,,Retention L1,Retention L1,Retention L1,Retention L1,Retention L1,Retention L1,Retention L1,BRS Loyalty Outbound,BRS Loyalty Outbound,,,,,Loyalty Inbound,Loyalty Inbound,Loyalty Inbound,Loyalty Inbound,Loyalty Inbound,Loyalty Inbound,Loyalty Inbound,Loyalty Outbound,Loyalty Outbound
EZ20636,27-Apr-17,Sitel,Sitel - Manila,OFFSHORE,84,1,PASS,-86,-58,-27,3,34,64,95,126,156,187,217,248,4,RECOMMENDED WITH RESERVATION,BRS,,,,,2,4,,,,,,,,,,,,1539.926174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retention L1,Retention L1,Retention L1,,,,,,,,,,,Loyalty Inbound,Loyalty Inbound,Loyalty Inbound,,,,,,
EZ20637,27-Apr-17,Sitel,Sitel - Manila,OFFSHORE,0,0,PASS,-86,-58,-27,3,34,64,95,126,156,187,217,248,4,RECOMMENDED WITH RESERVATION,BRS,,,,,4,4,4,2,3,2,2,1,,,,,,1837.955555,1259.353951,1390.206106,1850.995073,1333.430769,1668.034334,1400.442508,,,,,,,,,,,,,,,,,,,0.63344,0.748124,0.700372,0.711946,0.722352,0.754845,,,,,Retention L1,Retention L1,Retention L1,Retention L1,Retention L1,Retention L1,Retention L1,Retention L1,Retention L1,,,,,Loyalty Inbound,Loyalty Inbound,Loyalty Inbound,Loyalty Inbound,Loyalty Inbound,Loyalty Inbound,Loyalty Inbound,Loyalty Inbound,Loyalty Inbound
